"transcript","20200717-NSP1-HEK-1-setB","20200717-NSP1-HEK-2-setB","20200717-NSP1-HEK-3-setB","20200717-NSP2-HEK-1-setB","20200717-NSP2-HEK-2-setB","20200717-NSP2-HEK-3-setB"
"A1BG-201",9,10,10,17,29,16
"A1CF-202",0,0,0,0,0,0
"A2M-201",0,2,0,0,2,2
"A2ML1-201",0,0,1,0,0,1
"A3GALT2-201",0,0,0,1,0,1
"A4GALT-203",0,8,0,0,4,2
"A4GNT-201",0,0,0,1,0,0
"AAAS-201",67,70,57,88,124,103
"AACS-201",65,46,37,55,61,50
"AADAC-201",0,0,0,0,0,0
"AADACL2-201",0,0,0,0,0,0
"AADACL3-201",0,0,0,0,0,0
"AADACL4-201",0,0,0,0,0,0
"AADAT-201",17,14,8,15,15,18
"AAGAB-201",71,83,58,85,118,86
"AAK1-203",90,98,55,88,109,86
"AAMDC-206",4,6,2,2,6,7
"AAMP-201",98,117,70,139,192,146
"AANAT-202",0,1,0,1,0,0
"AAR2-202",19,31,13,25,44,34
"AARD-201",0,0,0,1,2,2
"AARS-201",425,474,295,658,797,602
"AARS2-201",78,81,54,94,102,84
"AARSD1-202",2,7,4,3,2,1
"AASDH-201",36,29,22,33,39,42
"AASDHPPT-201",51,65,43,90,121,72
"AASS-202",40,48,34,38,50,52
"AATF-208",308,389,188,415,487,351
"AATK-201",1,6,6,7,7,15
"ABAT-202",8,4,6,4,7,12
"ABCA1-202",6,7,3,5,7,3
"ABCA10-201",6,6,1,5,6,3
"ABCA12-201",0,0,2,0,0,2
"ABCA13-204",1,0,0,1,1,0
"ABCA2-202",47,60,30,79,85,76
"ABCA3-201",40,30,29,47,85,42
"ABCA4-201",1,2,0,1,0,0
"ABCA5-201",45,29,26,30,39,51
"ABCA6-201",1,0,1,0,0,0
"ABCA7-201",17,20,9,19,41,23
"ABCA8-208",0,0,0,3,2,2
"ABCA9-201",0,0,0,0,1,0
"ABCB1-211",26,52,31,66,76,55
"ABCB10-201",75,65,45,103,102,110
"ABCB11-207",1,0,0,0,1,0
"ABCB4-201",5,4,1,8,11,2
"ABCB5-202",0,0,0,0,0,1
"ABCB6-201",1,1,1,1,6,2
"ABCB7-213",86,102,45,104,108,107
"ABCB8-202",27,37,19,41,35,39
"ABCB9-216",14,14,6,9,12,19
"ABCC1-202",174,223,144,227,237,192
"ABCC10-201",32,25,17,28,31,27
"ABCC11-203",1,0,3,1,2,2
"ABCC12-201",1,1,0,0,0,0
"ABCC2-204",3,8,3,2,3,4
"ABCC3-201",0,1,0,0,0,0
"ABCC4-215",67,77,46,108,121,96
"ABCC5-202",93,99,61,71,95,77
"ABCC6-201",8,7,3,10,13,5
"ABCC8-202",4,8,5,6,6,4
"ABCC9-201",1,0,0,0,0,3
"ABCD1-201",54,67,55,81,80,92
"ABCD2-201",2,1,0,4,2,2
"ABCD3-202",133,164,99,152,184,175
"ABCD4-201",40,41,24,43,52,51
"ABCE1-201",129,204,110,218,262,199
"ABCF1-201",420,450,321,502,559,468
"ABCF2-201",0,0,1,0,0,0
"ABCF3-203",56,65,47,62,72,62
"ABCG1-205",3,1,1,0,3,2
"ABCG2-201",3,7,2,6,12,2
"ABCG4-205",6,1,2,2,1,1
"ABCG5-201",1,0,1,1,2,1
"ABCG8-204",0,0,0,0,0,0
"ABHD1-201",1,0,0,0,2,1
"ABHD10-201",53,88,62,116,157,109
"ABHD11-201",17,17,10,9,30,19
"ABHD12-201",24,26,15,33,53,37
"ABHD12B-202",0,0,0,0,0,1
"ABHD13-201",4,5,2,3,5,5
"ABHD14A-201",2,7,1,4,9,9
"ABHD14B-206",11,9,8,10,12,9
"ABHD15-201",2,9,5,12,16,9
"ABHD16A-201",0,1,3,1,3,2
"ABHD16B-201",2,13,5,11,13,8
"ABHD17A-202",49,82,50,79,71,73
"ABHD17B-201",21,14,10,14,14,16
"ABHD17C-201",14,12,11,27,14,12
"ABHD18-207",22,19,13,28,27,25
"ABHD2-201",32,30,11,37,28,38
"ABHD3-201",18,22,15,23,27,21
"ABHD4-203",6,6,5,11,7,11
"ABHD5-213",15,15,8,10,14,11
"ABHD6-205",12,9,3,10,11,10
"ABHD8-201",10,16,4,17,11,14
"ABI1-205",51,59,41,57,65,53
"ABI2-202",86,94,64,102,152,142
"ABI3-201",0,0,0,0,0,0
"ABI3BP-201",2,3,0,4,0,1
"ABL1-202",115,135,78,110,157,135
"ABL2-204",91,77,53,92,95,108
"ABLIM1-201",78,86,54,93,148,117
"ABLIM2-206",0,3,0,3,2,0
"ABLIM3-206",1,0,3,2,7,1
"ABO-202",0,0,0,0,0,0
"ABR-202",75,70,30,70,96,85
"ABRA-201",0,0,0,0,0,0
"ABRACL-201",14,32,15,36,38,34
"ABRAXAS1-201",22,27,14,33,27,20
"ABRAXAS2-201",31,41,40,37,47,30
"ABT1-201",31,65,32,44,45,38
"ABTB1-201",2,3,1,2,4,3
"ABTB2-201",42,27,23,20,26,13
"AC001226.2-201",1,0,0,0,0,0
"AC002094.3-201",0,0,0,0,0,0
"AC002310.5-201",0,0,0,0,0,0
"AC002985.1-201",0,0,0,0,0,0
"AC003002.2-201",1,1,1,1,0,3
"AC003005.1-201",0,0,1,0,1,0
"AC003688.1-201",0,0,0,0,0,0
"AC004076.1-201",1,0,0,0,0,0
"AC004080.3-201",0,0,0,0,0,0
"AC004233.2-201",0,0,0,1,0,0
"AC004593.3-201",1,0,0,1,2,0
"AC004687.2-201",0,0,0,0,0,0
"AC004691.2-201",0,0,0,0,0,0
"AC004754.1-201",0,0,0,0,0,0
"AC004805.1-201",0,0,0,0,0,0
"AC004832.3-202",0,0,0,0,0,0
"AC004922.1-201",0,0,0,0,0,0
"AC004997.1-203",0,0,0,0,0,0
"AC005020.2-201",1,2,0,0,2,0
"AC005041.1-201",0,0,0,0,0,0
"AC005154.5-201",0,0,0,0,0,0
"AC005258.1-201",0,0,0,0,0,0
"AC005324.3-201",0,0,0,0,0,0
"AC005324.4-204",0,0,0,0,0,0
"AC005520.1-201",0,0,3,0,0,0
"AC005551.1-201",0,0,0,0,0,0
"AC005670.2-201",2,0,0,0,1,1
"AC005697.1-201",0,0,0,0,0,0
"AC005702.1-201",0,0,0,0,0,0
"AC005726.1-204",0,1,0,0,0,1
"AC005779.2-201",0,0,0,0,0,0
"AC005832.4-201",0,0,0,0,0,0
"AC005833.1-201",0,0,0,0,0,0
"AC005837.2-201",0,0,0,0,0,0
"AC005943.1-201",0,0,0,0,0,0
"AC006030.1-201",0,0,0,0,0,0
"AC006059.2-201",0,2,0,0,0,0
"AC006064.6-201",4,9,2,12,3,4
"AC006254.1-201",0,0,0,0,0,0
"AC006518.7-201",0,0,0,0,0,0
"AC006978.2-201",0,0,0,0,0,0
"AC007040.2-201",3,0,0,0,0,1
"AC007192.1-201",0,0,0,0,0,0
